('goto', <Point 0,64>, <Point 0,-32>)
['end']
Game over
         10939908 function calls (10938793 primitive calls) in 41.299 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3051    0.003    0.000    0.022    0.000 pkg_resources.py:1825(_normalize_cached)
      552    0.007    0.000    0.021    0.000 Star.py:6(__init__)
     2162    0.013    0.000    0.021    0.000 Point.py:100(rotrad)
      235    0.018    0.000    0.021    0.000 function_base.py:2851(add_newdoc)
     1390    0.020    0.000    0.020    0.000 {posix.lstat}
     1071    0.002    0.000    0.020    0.000 sre_parse.py:207(get)
      209    0.003    0.000    0.020    0.000 SpriteManager.py:13(__add)
     1331    0.017    0.000    0.019    0.000 sre_parse.py:188(__next)
     2162    0.016    0.000    0.018    0.000 Point.py:19(__add__)
      361    0.002    0.000    0.013    0.000 pkg_resources.py:2169(_get_metadata)
     2001    0.005    0.000    0.013    0.000 SpaceView.py:27(addObject)
      210    0.009    0.000    0.013    0.000 pkg_resources.py:478(add)
      455    0.011    0.000    0.012    0.000 sre_parse.py:144(append)
      145    0.001    0.000    0.011    0.000 sre_compile.py:184(_compile_charset)
        2    0.004    0.002    0.011    0.005 __init__.py:9(<module>)
      209    0.011    0.000    0.011    0.000 {pygame.transform.rotate}
      315    0.001    0.000    0.010    0.000 posixpath.py:337(abspath)
        1    0.000    0.000    0.010    0.010 Controller.py:102(selectList)
        1    0.008    0.008    0.010    0.010 Selection.py:38(set)
      210    0.002    0.000    0.010    0.000 pkg_resources.py:2048(__init__)
      145    0.006    0.000    0.009    0.000 sre_compile.py:213(_optimize_charset)
      315    0.005    0.000    0.008    0.000 posixpath.py:308(normpath)
        1    0.001    0.001    0.008    0.008 polynomial.py:3(<module>)
     8746    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.008    0.008 pkg_resources.py:679(Environment)
        1    0.000    0.000    0.008    0.008 pkg_resources.py:60(get_supported_platform)
        1    0.006    0.006    0.008    0.008 pkg_resources.py:204(get_build_platform)
7985/7779    0.007    0.000    0.007    0.000 {len}
        6    0.005    0.001    0.007    0.001 collections.py:13(namedtuple)
      962    0.006    0.000    0.007    0.000 sre_parse.py:201(match)
      117    0.001    0.000    0.007    0.000 pkg_resources.py:2589(_find_adapter)
     6364    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
     2001    0.007    0.000    0.007    0.000 sprite.py:112(__init__)
      162    0.006    0.000    0.006    0.000 {pygame.event.get}
     1586    0.004    0.000    0.006    0.000 sre_parse.py:136(__getitem__)
     6552    0.006    0.000    0.006    0.000 {method 'endswith' of 'str' objects}
      972    0.005    0.000    0.006    0.000 Point.py:31(__div__)
      117    0.005    0.000    0.006    0.000 pkg_resources.py:2582(_get_mro)
        1    0.002    0.002    0.006    0.006 SpaceView.py:1(<module>)
      417    0.001    0.000    0.006    0.000 re.py:144(sub)
        1    0.001    0.001    0.006    0.006 ctypeslib.py:51(<module>)
      183    0.006    0.000    0.006    0.000 {imp.find_module}
       24    0.001    0.000    0.006    0.000 sre_compile.py:367(_compile_info)
     5658    0.005    0.000    0.005    0.000 {method 'get_width' of 'pygame.Surface' objects}
        1    0.002    0.002    0.005    0.005 Queue.py:1(<module>)
  532/190    0.004    0.000    0.005    0.000 sre_parse.py:146(getwidth)
      238    0.001    0.000    0.005    0.000 genericpath.py:38(isdir)
     2000    0.005    0.000    0.005    0.000 ShipModel.py:109(goto)
     1382    0.003    0.000    0.004    0.000 stat.py:55(S_ISLNK)
        1    0.003    0.003    0.004    0.004 numeric.py:1(<module>)
       40    0.000    0.000    0.004    0.000 pkg_resources.py:1167(get_metadata_lines)
       40    0.000    0.000    0.004    0.000 pkg_resources.py:1157(get_metadata)
        1    0.000    0.000    0.004    0.004 core.py:2278(__new__)
        1    0.003    0.003    0.004    0.004 __init__.py:4(<module>)
      336    0.004    0.000    0.004    0.000 {posix.stat}
        1    0.004    0.004    0.004    0.004 polynomial.py:763(poly1d)
       75    0.004    0.000    0.004    0.000 {hasattr}
      210    0.001    0.000    0.004    0.000 pkg_resources.py:1089(safe_name)
     2812    0.004    0.000    0.004    0.000 {isinstance}
      486    0.003    0.000    0.004    0.000 Point.py:42(vmod)
       28    0.004    0.000    0.004    0.000 {posix.listdir}
       97    0.000    0.000    0.004    0.000 pkg_resources.py:1153(has_metadata)
        1    0.003    0.003    0.004    0.004 Star.py:1(<module>)
        1    0.001    0.001    0.004    0.004 io.py:1(<module>)
     4554    0.004    0.000    0.004    0.000 {method 'get_height' of 'pygame.Surface' objects}
       40    0.000    0.000    0.004    0.000 pkg_resources.py:1274(_get)
      552    0.002    0.000    0.004    0.000 Star.py:23(render)
     4000    0.004    0.000    0.004    0.000 {math.floor}
       54    0.000    0.000    0.004    0.000 pkg_resources.py:1647(find_distributions)
     3657    0.004    0.000    0.004    0.000 {method 'random' of '_random.Random' objects}
      720    0.002    0.000    0.004    0.000 pkg_resources.py:2106(key)
      101    0.000    0.000    0.004    0.000 {built-in method fromkeys}
        1    0.002    0.002    0.003    0.003 __init__.py:6(<module>)
      207    0.001    0.000    0.003    0.000 pkg_resources.py:1097(safe_version)
      164    0.001    0.000    0.003    0.000 {reduce}
        1    0.000    0.000    0.003    0.003 _internal.py:4(<module>)
      557    0.002    0.000    0.003    0.000 pkg_resources.py:2206(__getattr__)
       24    0.000    0.000    0.003    0.000 pkg_resources.py:2213(from_filename)
     2100    0.003    0.000    0.003    0.000 {max}
        1    0.001    0.001    0.003    0.003 index_tricks.py:1(<module>)
        1    0.001    0.001    0.003    0.003 numerictypes.py:74(<module>)
     2162    0.002    0.000    0.002    0.000 {math.sin}
     2162    0.002    0.000    0.002    0.000 {math.cos}
       22    0.002    0.000    0.002    0.000 sre_compile.py:264(_mk_bitmap)
     2650    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
      210    0.001    0.000    0.002    0.000 posixpath.py:94(splitext)
        1    0.001    0.001    0.002    0.002 _datasource.py:33(<module>)
        1    0.002    0.002    0.002    0.002 __init__.py:84(<module>)
       42    0.002    0.000    0.002    0.000 {open}
       98    0.000    0.000    0.002    0.000 pkg_resources.py:1262(_has)
        1    0.001    0.001    0.002    0.002 __init__.py:43(<module>)
        1    0.002    0.002    0.002    0.002 heapq.py:31(<module>)
      162    0.001    0.000    0.002    0.000 SpaceView.py:82(<lambda>)
     2001    0.002    0.000    0.002    0.000 {math.ceil}
        2    0.001    0.001    0.002    0.001 Selection.py:27(__recalcDist)
      630    0.001    0.000    0.002    0.000 posixpath.py:50(isabs)
      776    0.001    0.000    0.002    0.000 sre_parse.py:132(__len__)
      417    0.002    0.000    0.002    0.000 {built-in method sub}
     1620    0.002    0.000    0.002    0.000 stat.py:24(S_IFMT)
       61    0.001    0.000    0.002    0.000 pkg_resources.py:1799(file_ns_handler)
       98    0.000    0.000    0.002    0.000 genericpath.py:15(exists)
      210    0.001    0.000    0.002    0.000 genericpath.py:85(_splitext)
     1023    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
      139    0.001    0.000    0.002    0.000 pkg_resources.py:1218(_fn)
        1    0.001    0.001    0.002    0.002 dis.py:1(<module>)
        1    0.001    0.001    0.002    0.002 threading.py:1(<module>)
      552    0.002    0.000    0.002    0.000 {method 'set_at' of 'pygame.Surface' objects}
        1    0.002    0.002    0.002    0.002 sndarray.py:57(<module>)
        1    0.001    0.001    0.002    0.002 util.py:5(<module>)
        1    0.001    0.001    0.001    0.001 linalg.py:10(<module>)
      166    0.001    0.000    0.001    0.000 sre_compile.py:360(_simple)
      859    0.001    0.000    0.001    0.000 {getattr}
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        1    0.001    0.001    0.001    0.001 function_base.py:1(<module>)
      487    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
      240    0.001    0.000    0.001    0.000 pkgutil.py:358(get_importer)
      119    0.001    0.000    0.001    0.000 posixpath.py:117(dirname)
       38    0.000    0.000    0.001    0.000 inspect.py:791(getargspec)
        1    0.001    0.001    0.001    0.001 defmatrix.py:1(<module>)
        1    0.001    0.001    0.001    0.001 arrayterator.py:20(<module>)
        1    0.001    0.001    0.001    0.001 collections.py:1(<module>)
      211    0.001    0.000    0.001    0.000 {built-in method match}
       29    0.000    0.000    0.001    0.000 inspect.py:832(formatargspec)
        1    0.001    0.001    0.001    0.001 arrayprint.py:4(<module>)
      575    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      815    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 sprite.py:66(<module>)
        1    0.001    0.001    0.001    0.001 shutil.py:5(<module>)
      392    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 warnings.py:45(filterwarnings)
        1    0.000    0.000    0.001    0.001 numerictypes.py:269(_add_aliases)
       41    0.001    0.000    0.001    0.000 {method 'read' of 'file' objects}
       30    0.000    0.000    0.001    0.000 {all}
      238    0.001    0.000    0.001    0.000 stat.py:40(S_ISDIR)
      162    0.001    0.000    0.001    0.000 SpaceView.py:35(centerAt)
        1    0.001    0.001    0.001    0.001 errors.py:9(<module>)
        1    0.000    0.000    0.001    0.001 extras.py:8(<module>)
      406    0.001    0.000    0.001    0.000 {range}
        1    0.001    0.001    0.001    0.001 fftpack.py:21(<module>)
        3    0.000    0.000    0.001    0.000 numeric.py:142(extend_all)
      324    0.001    0.000    0.001    0.000 Canon.py:77(tick)
       97    0.000    0.000    0.001    0.000 pkg_resources.py:1840(yield_lines)
        1    0.000    0.000    0.001    0.001 unittest.py:45(<module>)
      244    0.000    0.000    0.001    0.000 collections.py:43(<genexpr>)
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
        1    0.000    0.000    0.001    0.001 random.py:40(<module>)
       29    0.000    0.000    0.001    0.000 inspect.py:731(getargs)
